trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.74453158746591}",20,16,6.665181006025316,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.7408182206817184}",30,0,-182.50987561991298,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.7371233743916283}",30,0,-162.63301013824267,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.7334469562242899}",25,0,-114.38253993547714,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.7297888742690575}",20,0,-59.598373079499446,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.7261490370736916}",25,0,-55.9545046821587,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.7225273536420729}",25,7,-131.06293384586067,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.7189237334319268}",20,0,-152.1878432672522,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7153380863525606}",25,0,-73.04017382548298,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.7117703227626103}",25,0,-90.24375213041242,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
